"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"beta_r[22]",-0.04218822116425,-0.009403775,2.2539911956658,2.213905459815,-3.831016,3.6264055,1.00107518345459,8741.37033192212,2613.59979633889,"45"
"beta_r[23]",-0.892945881075,-0.900175,0.362524220388452,0.3558825627,-1.4934605,-0.28106555,1.01968752810221,277.022449256613,590.409789481104,"46"
"beta_r[24]",1.59329249425,1.58825,0.361695369677399,0.360368169,0.99757675,2.1872095,1.01932570000495,273.555537753803,575.024394361601,"47"
"beta_r[25]",0.6786438633225,0.6736385,0.360890600474519,0.354815832,0.09184511,1.2746295,1.01992372392222,275.128448823955,535.39667446804,"48"
"beta_r[26]",0.00649990375500002,0.006222705,2.22983136831237,2.223618306,-3.6601125,3.745628,1.0013623411604,10147.7121364448,2471.53661277988,"49"
"beta_r[27]",0.00052528176249996,-0.009161105,2.24297844239912,2.204663265,-3.724922,3.6530645,1.00253090859731,10793.3069754241,2578.50535486685,"50"
"beta_r[28]",-0.1969393378685,-0.196489,0.362341254922099,0.35397386346,-0.7840012,0.4222373,1.02158797520109,264.481832568485,570.349092285285,"51"
"beta_r[29]",-0.0270379397413,-0.03328395,0.362178833424185,0.3595460673,-0.62288625,0.5767691,1.02041556218955,268.828797726189,648.040594979252,"52"
"beta_r[30]",-0.00764389279577509,0.004898935,2.20413866403335,2.191207091031,-3.655651,3.64293,1.00155424429272,7978.25491951242,2436.71598204022,"53"
"beta_r[31]",-0.0348983876145,-0.0319459,2.25815213671141,2.18103195534,-3.7249175,3.7323215,1.00177992970914,11591.6364514024,2326.59758550927,"54"
"beta_r[32]",-0.0116129260275,-0.03809685,2.19308161879937,2.14849029381,-3.5534565,3.5954585,1.00059649184464,9387.69472989317,2657.59043182425,"55"
"beta_r[33]",-0.343530749865,-0.346841,0.363232099607484,0.3578025297,-0.935268,0.27096175,1.01924065159664,277.761608035421,620.509309963589,"56"
"beta_r[34]",-0.0182035827587999,-0.015441,2.24562551490522,2.3008825224,-3.707313,3.6749275,1.00141431432265,9584.78845608996,2779.50993096331,"57"
"beta_r[35]",-0.00771279788887495,-0.05063155,2.30359495187693,2.26449870297,-3.8089455,3.8464675,1.00007694016547,10590.9861609594,2508.80582880776,"58"
"beta_r[36]",-0.37610014936425,-0.38008,0.363612573345242,0.3583770372,-0.9636748,0.224674999999999,1.01820998086945,276.053238065273,633.529996168981,"59"
"beta_r[37]",0.026563838751,0.02606995,2.20114714069714,2.213210454,-3.556888,3.6587365,1.00094946404612,7870.55343884435,2918.74300852517,"60"
"beta_r[38]",0.0200570498957499,0.0227505,2.24723445526165,2.2744410927,-3.681454,3.787924,1.00042543155058,10178.0292268048,2919.61360763775,"61"
"beta_r[39]",0.03289921282625,0.0557306,2.25007253222565,2.15401675944,-3.8132945,3.787069,0.999817962221658,9597.74109541672,2669.66812668768,"62"
"beta_r[40]",-0.00907572397725004,-0.00596371,2.28566435603183,2.259869788554,-3.7303975,3.7627395,0.99942177830881,10371.8610615171,2540.055813468,"63"
"beta_r[41]",0.012317494092,0.009472355,2.18825837067001,2.145073649523,-3.624849,3.6281245,1.00193595289081,10537.7428275539,2438.51596911827,"64"
"beta_r[42]",0.00132503588699999,0.0005376165,2.28970613388965,2.3573749442229,-3.677631,3.656135,1.00214610511393,10267.5028579628,2692.07986708286,"65"
"beta_r[43]",-0.01459877283825,-0.0199103,2.2517045689215,2.21762163378,-3.6541005,3.659162,1.00012582840371,9110.40575034799,2602.30054887112,"66"
"beta_r[44]",-1.06389422058,-1.068275,0.362177889479913,0.3638797071,-1.653005,-0.4532656,1.01935893542388,271.045306321194,608.013426715937,"67"
"beta_r[45]",0.0147246190395001,0.02170655,2.16696622748254,2.17227356997,-3.546811,3.547927,1.00117648852376,8200.08635004395,2746.16637895967,"68"
"beta_r[46]",-1.27061268455,-1.273875,0.36059977753357,0.357076797,-1.859352,-0.6623638,1.0195297922761,276.39705178431,661.142518902604,"69"
"beta_r[47]",-0.06225719739275,-0.08658,2.15679187546632,2.166590097,-3.4963335,3.3931985,1.00189772680095,10144.466571501,2901.6820396969,"70"
"beta_r[48]",-0.01287042390785,-0.04361665,2.24930219638581,2.20842410229,-3.6948835,3.65915,0.999892280172103,10971.7565169013,2576.47247644202,"71"
"beta_r[49]",0.0264309250735,0.001002036,2.25814603856978,2.152638831,-3.662717,3.828569,1.00340578712451,10040.7322906095,2264.22715257289,"72"
"beta_r[50]",0.0144549363,-0.007810005,2.17253842223809,2.121741447,-3.447463,3.66656,1.00253137244749,10179.5174507622,2817.82549644403,"73"
"beta_r[51]",-0.01330342183725,-0.009545855,2.27481330081829,2.326614528,-3.777131,3.6987135,1.00260415891237,10230.0384056098,2595.87644020344,"74"
"beta_r[52]",-0.0132776050525,-0.02950005,2.20486225194538,2.14874708013,-3.613836,3.5061755,1.00166771751127,10432.2247337365,2947.15054956967,"75"
