"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"beta_r[241]",-2.5203545075,-2.52759,0.334644139294264,0.336268506,-3.063132,-1.9693455,1.04859380290769,67.060210048491,529.014346105805,"267"
"beta_r[242]",-0.30621029652575,-0.3056845,0.232063801844803,0.2412983391,-0.67884235,0.0725142199999997,1.10675828116499,30.2306544271713,192.240293624268,"268"
"beta_r[243]",-0.25863642532775,-0.2619285,0.236816785566928,0.24442499424,-0.6468974,0.124024049999999,1.10177485995434,31.5316307736283,238.004611231379,"269"
"beta_r[244]",-0.0237449729545001,-0.008595525,2.36887823789879,2.318608488,-3.8389175,3.8767785,1.00195924704657,5467.39190762948,2676.03516785319,"270"
"beta_r[245]",0.025082105728,0.00709133,2.39737531845821,2.345458374,-3.872692,4.0454405,1.00278853013571,5944.86046607736,3018.22321000282,"271"
"beta_r[246]",0.72610982529,0.725478,0.236285762282071,0.2472213261,0.3474007,1.1011295,1.10228954381244,34.4680202099259,173.185847453186,"272"
"beta_r[247]",-0.01584556396275,-0.00406978,2.35843627746893,2.339675907828,-3.9285895,3.8894325,1.00043542097516,6193.13631421698,2982.45238944552,"273"
"beta_r[248]",-1.12970685425,-1.128225,0.234653663522346,0.2435266869,-1.512012,-0.751214450000001,1.10757662095672,29.9677072397094,196.806125629063,"274"
"beta_r[249]",-0.00867189011499995,0.00398139,2.42264523189505,2.334240444186,-3.891143,4.018831,1.00076985479489,5975.32152978491,2955.47552714361,"275"
"beta_r[250]",-2.6068725,-2.604175,0.238111658422722,0.245273931,-2.984787,-2.219804,1.10338149419535,31.8886019163014,218.798598498675,"276"
"beta_r[251]",-0.028486023855,-0.01425745,2.38605982784212,2.335146891,-3.9968545,3.91637,1.00029236717922,5556.96735849359,2624.45713224668,"277"
"beta_r[252]",-0.192550186211,-0.193185,0.237980004191327,0.25333378938,-0.57339225,0.1958603,1.10188589361445,32.6579120881393,199.683907931692,"278"
"beta_r[253]",-0.00476674910499999,-0.01599555,2.49351181778526,2.520219849,-4.131035,4.084533,1.00156169930129,6481.78252440316,2301.32076070935,"279"
"beta_r[254]",-0.0218727786425,-0.01480715,2.45361291019259,2.380862862,-4.154659,3.9752825,1.00139031472094,6591.69628042838,2615.98798267608,"280"
"beta_r[255]",-0.940619142,-0.9394855,0.23329275205683,0.2356941111,-1.3152345,-0.55630365,1.10863272273443,30.9866264572755,205.113670231222,"281"
"beta_r[256]",-2.00255357425,-2.00339,0.341994378191434,0.331835532,-2.5687025,-1.4422505,1.04466737054169,82.8030379907914,301.95545059182,"282"
"beta_r[257]",-2.090021325,-2.088075,0.233904517076032,0.241471062,-2.471304,-1.7124885,1.09983181453479,30.9791435430314,215.280248412466,"283"
"beta_r[258]",0.0535343767525,0.047906,2.38302329918813,2.350995885,-3.8219205,4.081606,1.00110949299721,6592.78467447697,2931.13596647131,"284"
"beta_r[259]",-2.6275261625,-2.62814,0.248805598526165,0.251248809,-3.0213735,-2.2144555,1.08733204945039,36.4106519921071,236.799388626107,"285"
"beta_r[260]",-0.00383791262059995,0.022459,2.40044490797577,2.3312165184,-3.986736,3.896319,1.00081390725123,7580.13218607234,2811.65147055041,"286"
"beta_r[261]",1.441106544,1.442255,0.238899041930521,0.243672723,1.058517,1.8286925,1.0924702320678,33.7888601853215,191.660836599938,"287"
"beta_r[262]",0.6353590670375,0.6388475,0.232402235825757,0.2451115863,0.2650163,1.0137285,1.10595942841056,30.2213696894493,194.468414710472,"288"
"beta_r[263]",-3.050029455,-3.050205,0.236375296503468,0.245399952,-3.428313,-2.6677565,1.10795782667974,30.1715819367048,200.360403273215,"289"
"beta_r[264]",-0.0103843152625,-0.03192895,2.39131230737025,2.367512049,-3.938229,3.960716,1.00099313660005,5162.82808208534,2816.80652930888,"290"
"beta_r[265]",-1.981902555,-1.980605,0.231779622404586,0.238639296,-2.3544715,-1.610077,1.10639298829813,31.6599524874729,174.791233945483,"291"
"beta_r[266]",-2.19175884,-2.196615,0.234966986693159,0.245585277,-2.5634225,-1.808589,1.10862603417654,30.9026962284952,192.091750151118,"292"
"beta_r[267]",-0.0205346449577501,-0.0297114,2.40487276278571,2.359053816,-4.019418,3.9306945,1.00257135834202,6312.09703258371,3122.8948143413,"293"
"beta_r[268]",-0.79458538849425,-0.8017395,0.243970738193498,0.2481457272,-1.177794,-0.38785215,1.09541991635136,35.5638868935646,220.007939845136,"294"
"beta_r[269]",0.070670271878425,0.09497885,2.42600730876383,2.36086429299,-3.940412,4.088782,1.00364594729388,5881.8783648051,2944.17110885677,"295"
"beta_r[270]",-0.203716627514,-0.207399,0.232762491000679,0.24306211419,-0.572322,0.1755171,1.10640791590565,31.239828064217,228.95496688934,"296"
"beta_r[271]",-0.020106192345,-0.02919565,2.36629453683768,2.369847144,-3.9002355,3.8668555,1.0008550499181,5883.18356368417,2939.6545507065,"297"
"beta_r[272]",-0.3216144198945,-0.3216335,0.23559905624966,0.2476787082,-0.69983695,0.06160085,1.10299114838759,33.3150520706039,238.697497355847,"298"
"beta_r[273]",0.04532523094075,0.0118235,2.4135010152609,2.3592072651,-3.905237,3.9360765,1.00218678326013,7703.26673363427,2986.27994551658,"299"
"beta_r[274]",-2.534303665,-2.533515,0.235152545596136,0.238372427999999,-2.9106585,-2.1471155,1.11401234110318,28.5922811759833,177.776091273178,"300"
